	 ExtractedX	 ExtractedY
1630582734.529370	667	557
1630582734.562700	664	550
1630582734.596030	660	542
1630582734.629370	653	535
1630582734.662700	648	526
1630582734.696030	649	516
1630582734.729370	649	506
1630582734.762700	648	498
1630582734.796030	649	489
1630582734.829370	648	480
1630582734.862700	648	471
1630582734.896030	653	462
1630582734.929370	657	451
1630582734.962700	658	444
1630582734.996030	660	436
1630582735.029370	662	426
1630582735.062700	662	416
1630582735.096040	660	405
1630582735.129370	661	394
1630582735.162700	661	384
1630582735.196040	658	374
1630582735.229370	655	363
1630582735.262700	654	353
1630582735.296040	654	345
1630582735.329370	653	335
1630582735.362700	651	326
1630582735.396040	654	318
1630582735.429370	656	311
1630582735.462700	643	304
1630582735.496040	641	300
1630582735.529370	641	298
1630582735.562700	0	0
1630582735.596040	0	0
1630582735.629370	659	288
1630582735.662700	657	283
1630582735.696040	656	278
1630582735.729370	0	0
1630582735.762700	637	266
1630582735.796040	637	261
1630582735.829370	635	254
1630582735.862700	647	249
1630582735.896040	645	243
1630582735.929370	646	237
1630582735.962700	648	231
1630582735.996040	650	225
1630582736.029370	651	220
1630582736.062710	650	213
1630582736.096040	650	205
1630582736.129370	652	202
1630582736.162710	654	196
1630582736.196040	655	193
1630582736.229370	656	189
1630582736.262710	655	185
1630582736.296040	637	181
1630582736.329370	633	179
1630582736.362710	629	179
1630582736.396040	636	175
1630582736.429370	630	175
1630582736.462710	626	175
1630582736.496040	610	181
1630582736.529370	607	181
1630582736.562710	605	181
1630582736.596040	617	172
1630582736.629370	616	170
1630582736.662710	615	167
1630582736.696040	615	166
1630582736.729370	615	166
1630582736.762710	616	165
1630582736.796040	619	165
1630582736.829380	626	164
1630582736.862710	634	163
1630582736.896040	642	162
1630582736.929380	650	161
1630582736.962710	658	161
1630582736.996040	666	161
1630582737.029380	665	157
1630582737.062710	674	159
1630582737.096040	695	173
1630582737.129380	691	162
1630582737.162710	698	162
1630582737.196040	0	0
1630582737.229380	718	178
1630582737.262710	724	180
1630582737.296040	726	166
1630582737.329380	736	169
1630582737.362710	745	188
